MomentType,Name,Description,InstanceDescription,InterestLevel,EraScore,RepeatTurnCooldown,CommemorationType,MinimumGameEra,MaximumGameEra,BackgroundTexture,IconTexture,MomentIllustrationType,ObsoleteEra
MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST_IN_WORLD,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_GOVERNMENT_ENACTED_TIER_4_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,,,MOMENT_ILLUSTRATION_GOVERNMENT,ERA_FUTURE
MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentXP2_BuildingMountainTunnel.dds,,,
MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST_IN_WORLD,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST_IN_WORLD,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_MOUNTAIN_TUNNEL_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,MomentXP2_BuildingMountainTunnel.dds,,,
MOMENT_IMPROVEMENT_CONSTRUCTED_ON_DISASTER_YIELD_TILE_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_ON_DISASTER_YIELD_TILE_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_ON_DISASTER_YIELD_TILE_FIRST_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_ON_DISASTER_YIELD_TILE_FIRST_INSTANCE_DESCRIPTION,3,1.0,,,,,MomentXP2_ImproveNaturalDisasterYieldTile.dds,,,
MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentXP2_TrainingRenewableEnergyImprovement.dds,,,
MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST_IN_WORLD,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST_IN_WORLD,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_IMPROVEMENT_CONSTRUCTED_RENEWABLE_ENERGY_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,MomentXP2_TrainingRenewableEnergyImprovement.dds,,,
MOMENT_MITIGATED_COASTAL_FLOOD,LOC_MOMENT_MITIGATED_COASTAL_FLOOD,LOC_MOMENT_MITIGATED_COASTAL_FLOOD_DESCRIPTION,LOC_MOMENT_MITIGATED_COASTAL_FLOOD_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_City,,
MOMENT_MITIGATED_RIVER_FLOOD,LOC_MOMENT_MITIGATED_RIVER_FLOOD,LOC_MOMENT_MITIGATED_RIVER_FLOOD_DESCRIPTION,LOC_MOMENT_MITIGATED_RIVER_FLOOD_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_City,,
MOMENT_PLAYER_EARNED_DIPLOMATIC_VICTORY_POINT,LOC_MOMENT_PLAYER_EARNED_DIPLOMATIC_VICTORY_POINT,LOC_MOMENT_PLAYER_EARNED_DIPLOMATIC_VICTORY_POINT_DESCRIPTION,LOC_MOMENT_PLAYER_EARNED_DIPLOMATIC_VICTORY_POINT_INSTANCE_DESCRIPTION,1,2.0,,,,,,MomentSmall_Diplomacy,,
MOMENT_PROJECT_FOUNDED_EXOPLANET,LOC_MOMENT_PROJECT_FOUNDED_EXOPLANET,LOC_MOMENT_PROJECT_FOUNDED_EXOPLANET_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_EXOPLANET_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentXP2_Project_Founded_Exoplanet.dds,,,
MOMENT_PROJECT_FOUNDED_EXOPLANET_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_EXOPLANET_FIRST_IN_WORLD,LOC_MOMENT_PROJECT_FOUNDED_EXOPLANET_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_PROJECT_FOUNDED_EXOPLANET_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,4.0,,,,,MomentXP2_Project_Founded_Exoplanet.dds,,,
MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES,LOC_MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES,LOC_MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES_DESCRIPTION,LOC_MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentXP2_BuildingRailroadConnecting2Cities.dds,,,
MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES_FIRST_IN_WORLD,LOC_MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES_FIRST_IN_WORLD,LOC_MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_ROUTE_CREATED_RAILROAD_CONNECTS_TWO_CITIES_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,3,3.0,,,,,MomentXP2_BuildingRailroadConnecting2Cities.dds,,,
MOMENT_UNIT_TOURISM_BOMB,LOC_MOMENT_UNIT_TOURISM_BOMB,LOC_MOMENT_UNIT_TOURISM_BOMB_DESCRIPTION,LOC_MOMENT_UNIT_TOURISM_BOMB_INSTANCE_DESCRIPTION,2,2.0,,,,,MomentXP2_TourismBomb.dds,,,
MOMENT_UNIT_TOURISM_BOMB_FIRST_IN_WORLD,LOC_MOMENT_UNIT_TOURISM_BOMB_FIRST_IN_WORLD,LOC_MOMENT_UNIT_TOURISM_BOMB_FIRST_IN_WORLD_DESCRIPTION,LOC_MOMENT_UNIT_TOURISM_BOMB_FIRST_IN_WORLD_INSTANCE_DESCRIPTION,2,3.0,,,,,MomentXP2_TourismBomb.dds,,,
MOMENT_HERO_CREATED_FIRST,LOC_MOMENT_HERO_CREATED_FIRST_TITLE,LOC_MOMENT_HERO_CREATED_FIRST_DESCRIPTION,LOC_MOMENT_HERO_CREATED_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentSTK_HeroClaimed.dds,,,
MOMENT_HERO_EXPIRED_FIRST,LOC_MOMENT_HERO_EXPIRED_FIRST_TITLE,LOC_MOMENT_HERO_EXPIRED_FIRST_DESCRIPTION,LOC_MOMENT_HERO_EXPIRED_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentSTK_HeroLost.dds,,,
MOMENT_HERO_RECALLED_FIRST,LOC_MOMENT_HERO_RECALLED_FIRST_TITLE,LOC_MOMENT_HERO_RECALLED_FIRST_DESCRIPTION,LOC_MOMENT_HERO_RECALLED_FIRST_INSTANCE_DESCRIPTION,3,2.0,,,,,MomentSTK_HeroRecalled.dds,,,
MOMENT_HERO_CREATED,LOC_MOMENT_HERO_CREATED_TITLE,LOC_MOMENT_HERO_CREATED_DESCRIPTION,LOC_MOMENT_HERO_CREATED_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Heroes,,
MOMENT_HERO_EXPIRED,LOC_MOMENT_HERO_EXPIRED_TITLE,LOC_MOMENT_HERO_EXPIRED_DESCRIPTION,LOC_MOMENT_HERO_EXPIRED_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Heroes,,
MOMENT_HERO_RECALLED,LOC_MOMENT_HERO_RECALLED_TITLE,LOC_MOMENT_HERO_RECALLED_DESCRIPTION,LOC_MOMENT_HERO_RECALLED_INSTANCE_DESCRIPTION,1,1.0,,,,,,MomentSmall_Heroes,,
